playlist_id,playlist_name,playlist_uri,track_id,track_name,track_artist,featured_artists,track_popularity,track_uri,added_on,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,time_added,date_added,hour_added,day_added,month_added
7f89DdKO9vRrn7nl5Gjhdq,Hip-Hop: 1994 - 1999,spotify:playlist:7f89DdKO9vRrn7nl5Gjhdq,22uZ8sPzkovoQG4Cu39Pqe,Big Pimpin',JAY Z,UGK,0,spotify:track:22uZ8sPzkovoQG4Cu39Pqe,2016-12-31T05:45:38Z,0.88,0.816,11.0,-6.269,0.0,0.158,0.192,0.00309,0.0406,0.914,138.03,audio_features,22uZ8sPzkovoQG4Cu39Pqe,spotify:track:22uZ8sPzkovoQG4Cu39Pqe,https://api.spotify.com/v1/tracks/22uZ8sPzkovoQG4Cu39Pqe,https://api.spotify.com/v1/audio-analysis/22uZ8sPzkovoQG4Cu39Pqe,284640.0,4.0,05:45:38,2016-12-31,5,6,12
7f89DdKO9vRrn7nl5Gjhdq,Hip-Hop: 1994 - 1999,spotify:playlist:7f89DdKO9vRrn7nl5Gjhdq,5Tl0HJvynZtKdSUMKbFVVX,Hard Knock Life (Ghetto Anthem),JAY Z,,5,spotify:track:5Tl0HJvynZtKdSUMKbFVVX,2016-12-31T05:46:05Z,0.883,0.659,10.0,-6.017,0.0,0.294,0.0814,0.00119,0.0285,0.557,77.03,audio_features,5Tl0HJvynZtKdSUMKbFVVX,spotify:track:5Tl0HJvynZtKdSUMKbFVVX,https://api.spotify.com/v1/tracks/5Tl0HJvynZtKdSUMKbFVVX,https://api.spotify.com/v1/audio-analysis/5Tl0HJvynZtKdSUMKbFVVX,238467.0,4.0,05:46:05,2016-12-31,5,6,12
7f89DdKO9vRrn7nl5Gjhdq,Hip-Hop: 1994 - 1999,spotify:playlist:7f89DdKO9vRrn7nl5Gjhdq,5MnXRG5LzgSzdpIkg5nagT,"Nigga What, Nigga Who (Originator 99)",JAY Z,Big Jaz,0,spotify:track:5MnXRG5LzgSzdpIkg5nagT,2016-12-31T05:46:11Z,0.862,0.614,11.0,-8.705,1.0,0.325,0.305,0.0,0.0656,0.714,132.916,audio_features,5MnXRG5LzgSzdpIkg5nagT,spotify:track:5MnXRG5LzgSzdpIkg5nagT,https://api.spotify.com/v1/tracks/5MnXRG5LzgSzdpIkg5nagT,https://api.spotify.com/v1/audio-analysis/5MnXRG5LzgSzdpIkg5nagT,233173.0,4.0,05:46:11,2016-12-31,5,6,12
7f89DdKO9vRrn7nl5Gjhdq,Hip-Hop: 1994 - 1999,spotify:playlist:7f89DdKO9vRrn7nl5Gjhdq,1FkgoPdajl8gwC1hlyvHtC,"Money, Cash, Hoes",JAY Z,DMX,0,spotify:track:1FkgoPdajl8gwC1hlyvHtC,2016-12-31T05:46:15Z,0.866,0.588,1.0,-7.254,1.0,0.413,0.00967,0.0,0.189,0.476,90.073,audio_features,1FkgoPdajl8gwC1hlyvHtC,spotify:track:1FkgoPdajl8gwC1hlyvHtC,https://api.spotify.com/v1/tracks/1FkgoPdajl8gwC1hlyvHtC,https://api.spotify.com/v1/audio-analysis/1FkgoPdajl8gwC1hlyvHtC,286133.0,4.0,05:46:15,2016-12-31,5,6,12
7f89DdKO9vRrn7nl5Gjhdq,Hip-Hop: 1994 - 1999,spotify:playlist:7f89DdKO9vRrn7nl5Gjhdq,4LGMSdeKOUoy5Wf75Je0Hl,Can I Get A...,JAY Z,"Amil, Ja Rule",2,spotify:track:4LGMSdeKOUoy5Wf75Je0Hl,2016-12-31T05:46:19Z,0.863,0.7,8.0,-10.079,0.0,0.17,0.0628,2.63e-05,0.102,0.825,88.557,audio_features,4LGMSdeKOUoy5Wf75Je0Hl,spotify:track:4LGMSdeKOUoy5Wf75Je0Hl,https://api.spotify.com/v1/tracks/4LGMSdeKOUoy5Wf75Je0Hl,https://api.spotify.com/v1/audio-analysis/4LGMSdeKOUoy5Wf75Je0Hl,309773.0,4.0,05:46:19,2016-12-31,5,6,12
7f89DdKO9vRrn7nl5Gjhdq,Hip-Hop: 1994 - 1999,spotify:playlist:7f89DdKO9vRrn7nl5Gjhdq,1SKhE8yTMuGrTLte0os673,It's Alright,Memphis Bleek,JAY Z,0,spotify:track:1SKhE8yTMuGrTLte0os673,2016-12-31T05:46:23Z,0.601,0.852,1.0,-8.927,1.0,0.298,0.0133,0.0,0.333,0.792,95.653,audio_features,1SKhE8yTMuGrTLte0os673,spotify:track:1SKhE8yTMuGrTLte0os673,https://api.spotify.com/v1/tracks/1SKhE8yTMuGrTLte0os673,https://api.spotify.com/v1/audio-analysis/1SKhE8yTMuGrTLte0os673,241720.0,4.0,05:46:23,2016-12-31,5,6,12
7f89DdKO9vRrn7nl5Gjhdq,Hip-Hop: 1994 - 1999,spotify:playlist:7f89DdKO9vRrn7nl5Gjhdq,3dT126FgdirenOn5aDXHBE,Money Ain't A Thang,JAY Z,JD,1,spotify:track:3dT126FgdirenOn5aDXHBE,2016-12-31T05:46:28Z,0.831,0.709,6.0,-8.415,0.0,0.27,0.0599,0.0,0.121,0.826,100.055,audio_features,3dT126FgdirenOn5aDXHBE,spotify:track:3dT126FgdirenOn5aDXHBE,https://api.spotify.com/v1/tracks/3dT126FgdirenOn5aDXHBE,https://api.spotify.com/v1/audio-analysis/3dT126FgdirenOn5aDXHBE,253240.0,4.0,05:46:28,2016-12-31,5,6,12
7f89DdKO9vRrn7nl5Gjhdq,Hip-Hop: 1994 - 1999,spotify:playlist:7f89DdKO9vRrn7nl5Gjhdq,1EkteNRr1GNnrjRZ5zRXWy,Always Be My Sunshine,JAY Z,"Babyface, Foxy Brown",0,spotify:track:1EkteNRr1GNnrjRZ5zRXWy,2016-12-31T05:46:43Z,0.828,0.656,6.0,-9.29,0.0,0.311,0.0139,7.59e-05,0.578,0.707,90.981,audio_features,1EkteNRr1GNnrjRZ5zRXWy,spotify:track:1EkteNRr1GNnrjRZ5zRXWy,https://api.spotify.com/v1/tracks/1EkteNRr1GNnrjRZ5zRXWy,https://api.spotify.com/v1/audio-analysis/1EkteNRr1GNnrjRZ5zRXWy,283360.0,4.0,05:46:43,2016-12-31,5,6,12
7f89DdKO9vRrn7nl5Gjhdq,Hip-Hop: 1994 - 1999,spotify:playlist:7f89DdKO9vRrn7nl5Gjhdq,4iQOH0qvWjmATMp9fCGrEw,I Know What Girls Like,JAY Z,"Diddy, Lil' Kim",0,spotify:track:4iQOH0qvWjmATMp9fCGrEw,2016-12-31T05:46:55Z,0.94,0.794,1.0,-6.334,1.0,0.163,0.15,1.19e-06,0.152,0.614,98.971,audio_features,4iQOH0qvWjmATMp9fCGrEw,spotify:track:4iQOH0qvWjmATMp9fCGrEw,https://api.spotify.com/v1/tracks/4iQOH0qvWjmATMp9fCGrEw,https://api.spotify.com/v1/audio-analysis/4iQOH0qvWjmATMp9fCGrEw,290893.0,4.0,05:46:55,2016-12-31,5,6,12
7f89DdKO9vRrn7nl5Gjhdq,Hip-Hop: 1994 - 1999,spotify:playlist:7f89DdKO9vRrn7nl5Gjhdq,7fcTciTYcKnwrSnbzD5MkR,Flava In Ya Ear - Club Mix,Craig Mack,,28,spotify:track:7fcTciTYcKnwrSnbzD5MkR,2016-12-31T05:49:00Z,0.779,0.483,9.0,-11.098,0.0,0.332,0.544,0.0,0.0562,0.865,90.073,audio_features,7fcTciTYcKnwrSnbzD5MkR,spotify:track:7fcTciTYcKnwrSnbzD5MkR,https://api.spotify.com/v1/tracks/7fcTciTYcKnwrSnbzD5MkR,https://api.spotify.com/v1/audio-analysis/7fcTciTYcKnwrSnbzD5MkR,222773.0,4.0,05:49:00,2016-12-31,5,6,12
